"","Program","Org","City","State","Lat","Lon","Overview","Training.Credentials.Offered","Link"
"1","(Restoring the Environment and Developing Youth) READY Program","Howard County EcoWorks","Columbia","MD",39.1963404913341,-76.8522083173687,"READY provides summer employment to young adults ages 16 to 25. Crews build rain gardens, maintain stormwater management practices, and provide habitat management services in Howard County. ","Chesapeake Bay Landscape Professional Associate Certification","https://www.howardecoworks.org/ready"
"2","Branches to Chances","Delaware Center for Horticulture","Wilmington","DE",39.7593643140723,-75.5582275392386,"Branches to Chances is a horticultural job training program for unemployed, underemployed, and/or previously incarcerated individuals ages 18+. Training is aimed at connecting participants with entry-level positions in the horticulture industry, such as landscaping, tree maintenance, and park maintenance.","Plant/weed identification and basic botany. Equipment use and safety. Financial and computer literacy. Job interview prep and workplace skills.","https://www.thedch.org/content/branches-chances"
"3","DC Green Corps","Washington Parks and People","Washington","DC",38.9234799179073,-77.0341548612811,"DC Green Corps trains seasonal adult cohorts entry level workforce development in urban forestry, storm water mitigation, green infrastructure, urban agriculture & related fields.","Self confidence and job readiness skills. Mentoring and resources for job placement.","https://washingtonparks.net/programs/green-corps/"
"4","Detroit Conservation Corps","The Greening of Detroit","Detroit","MI",42.4262520889343,-83.1177514208496,"The Detroit Conservation Corps provides unemployed adult residents with valuable hands-on job training opportunities and certifications within the urban forestry and landscaping sectors.","Certified Landscape Technician. Certified Tree Artisan.","https://www.greeningofdetroit.com/adult-training"
"5","Duwamish Infrastructure Restoration Training (DIRT) Corps","Seattle Parks Foundation","Seattle","WA",47.6000002585231,-122.33325512924,"DIRT Corps focuses on creating green career pathways for people facing barriers within the existing routes to environmental work. Paid training is available for adult participants.
","Arboriculture and horticulture. Vegetation and stormwater management. Salmon recovery. Green infrastructure. Design/build/maintenance. General landscaping. Community environmental engagement.","https://www.thedirtcorps.com/education/"
"6","Environmental Services Division","Urban Corps San Diego","San Diego","CA",32.7559777457148,-117.201888903472,"Urban Corps serves as a bridge to a better life for young adults ages 18-26. Corps members are able to experience and learn about San Diego’s natural environment, including identification of native flora and fauna, and how to remove invasive non-native plants.","Brush management. Landscape maintenance. Tree Planting & Education. Design/Build Landscaping. Trail Building & Maintenance. Irrigation System Design & Installation. Crib Step Construction. Land Management. Fire Fuel Reduction/Fire Breaks. Non-Native Species Removal. Chipping.","https://www.urbancorpssd.org/environmental-services"
"7","Environmental Services Program","San Gabriel Valley Conservation Corp","El Monte","CA",34.089634050589,-118.026347150013,"Geared toward youth ages 18-25, this program protects and maintains the urban environment throughout the San Gabriel Valley. ","Youth learn about conservation and preservation, including restoration of watersheds, parks, open spaces, natural habitats and ecosystems.","http://www.sgvcorps.org/programs/conservation-work/"
"8","ES Summer Youth Program","Koreatown Youth and Community Center","Los Angeles","CA",34.0610522025994,-118.312833964241,"Established in 2012, this summer program serves 15- to 24-year olds in activities such as tree planting, tree maintenance, community engagement and outreach, event planning and preparation, graffiti removal and abatement, and street cleaning activities.","Provide professional development days throughout the term that have included resumé-building workshops, tree biology training, and field trips.","https://www.kyccla.org/services/environmental-services/es-summer-youth-program/"
"9","Forestry Trainee","Openlands","Chicago","IL",41.8912266976342,-87.5993541912859,"Since 2018, the Forestry Training Program has provided interested individuals paid, hands-on field experiences, trainings and professional development opportunities in arboriculture.","Over eight months, trainees experience the full life cycle of an urban tree by selecting trees at the nursery, planting trees, conducting tree establishment maintenance (watering, mulching and pruning), and inventorying established trees. ","https://www.openlands.org/2019/12/26/planting-trees-growing-careers-recapping-the-2019-forestry-training-program/"
"10","Garden Time-To-Work","Garden Time, Inc","Providence","RI",41.8472400622031,-71.3935736312359,"Garden Time provides prison-based educational programs that teach incarcerated men and women how to cultivate gardens and grow food for their own economic and personal well-being and self-reliance.","Participants learn practical skills and knowledge relevant to the fields of agriculture, landscaping and horticulture, as well as critical 21st-century learning skills and soft skills necessary for any future employment.","http://www.gardentime.us/"
"11","Greater Valley Conservation Corps","Greater Valley Conservation Corps/San Joaquin County Office of Education","Stockton","CA",37.962220840266,-121.26262466403,"This program serves young adults 18- to 25-years old with academic instruction, employment opportunities, green job training and life skills training.",NA,"http://www.greatervalleycc.org/"
"12","Green Corps","Franklin Park Conservatory","Columbus","OH",39.9658278082403,-82.9520771982062,"The Green Corps Jobs Program provides horticulture and landscaping training to eligible adults ages 18–24 who are interested in obtaining a career in the green, environmental and agricultural industries. ","Participants work side-by-side with employees at Franklin Park Conservatory and Botanical Gardens gaining skills in horticulture, landscape and garden maintenance and green practices. Concentrated classroom and hands-on training, including guest speakers and visits to local businesses, provide comprehensive preparation so participants may confidently enter the job market at the end of the 10-week, 320-hour training program.","https://www.fpconservatory.org/education-programs/outreach-programs/green-corps/"
"13","Green Crew","Friends of the Urban Forest","San Francisco","CA",37.8021346933871,-122.449808170374,"The Green Crew program consists of two to three young adults who have come to Friends of the Urban Forest through the Zuckerberg San Francisco General Hospital’s Wraparound Project, which helps young survivors of violence to change their lives. ","Marketing support for community plantings; learn to plant and prune trees; lead volunteer groups in planting, pruning and sidewalk landscaping; collect and curate data on young trees planted by FUF; help advise property owners; and re-stake trees in need. Improve landscaping practices for application in local communities; improve basic job skills including timeliness, professionalism, customer service, resume preparation; provide ride-along trainings with local arborists, which provides introduction and exposure to professional practices.","https://www.fuf.net/programs-services/education/green-crew/"
"14","Green ReEntry","Inner City Muslim Action Network","Chicago","IL",41.7801568319203,-87.6906045534864,"Green ReEntry provides transitional housing, life skills education, and sustainable construction training for returning citizens and high-risk youth.","Paid opportunity for hands-on, vocational training with an integrative focus on personal, professional and leadership development.","https://www.imancentral.org/chicago/project-green-reentry/"
"15","Green Streets Crew","NJ Tree Foundation","Newark","NJ",40.1361752104556,-74.3873496782367,"The NJ Tree Foundation partners with the New Jersey Parole Board on the Green Streets Crew project, which hires men for a tree planting crew, creating transitional jobs for individuals under parole supervision. Transitional jobs are time-limited jobs that combine real work, skill development, and support services to help participants overcome barriers to employment. Since spring 2006, this program has planted 16,630 trees and employed 106 parolees.","High-quality tree-planting, landscaping, maintenance, and training services, including street/park tree planting and maintenance (small tree pruning, stake removal, mulching, & watering); rain garden installation and maintenance (rain garden design, excavation & installation, maintenance and weeding); and hands-on education workshops (State-approved Continuing Education Units (CEUs), ""Right Tree Right Place"" method, and pruning, mulching, & maintenance techniques).","https://www.facebook.com/pg/njtrees/about/?ref=page_internal"
"16","Greencorps Chicago","Greencorps Chicago","Chicago","IL",41.8902721538107,-87.6969287551161,"Greencorps Chicago is a green-industry employment program with on-the-job training for individuals with barriers to employment. It promotes environmental stewardship and improves the quality of life in Chicago by establishing, maintaining and restoring natural and public spaces that are safe, healthy, and sustainable through hands-on involvement with program participants.","Practical field experience and technical training in a variety of environmentally related jobs.","https://greencorpschicago.org/"
"17","Greenskills Program","Urban Resource Initiative","New Haven","CT",41.3204323608525,-72.9200200543025,"URI GreenSkills is a green jobs program that employs high school students and adults with employment barriers through the planting of trees. It connects people to their communities, their environment, and each other.","Tree planting and maintenance; education on local ecology; serving as group leaders; collaboration with peers; improving New Haven’s street tree canopy. Learn skills such as leadership and multitasking, gain marketable job and mentoring skills, foster a sense of environmental stewardship, and make meaningful positive change in New Haven communities.","https://uri.yale.edu/programs/greenskills"
"18","GYFTED Tree Care Management Training Program","Greening Youth Foundation","Atlanta","GA",33.7551697215956,-84.3832531115332,"The Greening Youth Foundation Trained Educated and Developed (GYFted) program is an intensive training program that has two tracts: (1) the standard tract prepares youth for a 1-year Urban Youth Corps experience; (2) the GYFted Tree Care tract prepares youth to enter directly into the tree care industry.","Technical skills, including chainsaw operation, chipper operation, ground operation. Soft skills, such as professional development, financial literacy, health and nutrition, and character development. A regimen to ensure good physical health, which includes daily physical exercises and a healthy meal plan.","http://uyc.gyfoundation.org/overview/"
"19","HOPE Program","Sustainable South Bronx","New York","NY",40.8212308846895,-73.884327898722,"HOPE empowers New Yorkers to build sustainable futures through comprehensive training, jobs, advancement and lifelong career support.","Comprehensive approach that provides training, adult basic education, industry certifications, work wellness services, internships and job placement with long-term support. ","http://www.thehopeprogram.org/"
"20","Job Apprenticeship Program","Knox Hartford","Hartford","CT",41.7617718996277,-72.6962431523694,"KNOX provides green jobs training and career counseling to out-of-work residents in Hartford. Members lead horticultural service projects across the city; support community and corporate volunteer groups; maintain green spaces and KNOX’s community gardens; and plant trees to enhance Hartford’s urban forests.","Members take part in horticultural training and life skills workshops before advancing to further educational and employment opportunities. Members earn a living stipend and receive school and job placement counseling for one year after completing their service.","https://www.knoxhartford.org/programs/workforce-development/"
"21","Landforce Crew","Landforce","Pittsburgh","PA",40.4487303631846,-79.8940908024326,"Working closely with a coalition of public and private agencies as well as a network of greenspace and workforce development experts, Landforce recruits, trains, educates, employs and supports adults who have faced structural barriers to stable, family sustaining, employment based upon race or personal histories.","Facilitates quality land stewardship services such as: invasive plant management removal, vacant lot stabilization, garden bed installation, wooden step installation, trail building, reforestation, garden maintenance, erosion control, tree care/maintenance, riparian zone management, and additional green infrastructure maintenance needs for a variety of land types throughout the city and county. Provides meaningful employment, coupled with transitional career coaching, using best practices and a trauma-informed approach.","https://www.landforcepgh.org/"
"22","Landscape Training
Arborist Apprenticeship","City of Milwaukee","Milwaukee","WI",43.0509928932773,-87.9589431912458,"The City of Milwaukee’s Urban Forestry Arborist Apprentice Program consists of 7,000 hours (approximately 3.5 years) and includes 6,560 hours of on-the-job learning and 440 hours of paid related instruction encompassing all aspects of tree care, from planting and pruning to managing diseases and insects. ","This comprehensive program prepares Arborist Apprentices to become Urban Forestry Specialists (Journey Worker Arborists) working for the City of Milwaukee. Apprentices learn how to climb trees using rope, saddle, and other tree-climbing equipment. Work at heights of 60 feet or more while utilizing the proper safety equipment. Assess and perform pruning on young, juvenile, mature, and over-mature trees. Perform a climbing aerial rescue. Plan and set up tree rigging for topping, felling, and removing urban trees. Use a chainsaw safely, and perform field maintenance. Correctly tie various tree climbing and rigging knots. Plant, maintain, and remove trees, shrubs, and other landscape plants. Operate and drive vehicles such as an aerial lift and 2½-ton dump truck. Operate job-related power equipment and hand-held equipment. Perform field maintenance on some power equipment. Construct, repair, and maintain irrigation systems. Safely drive and operate snow plows and salt trucks on city streets. Accurately complete activity reports.","https://city.milwaukee.gov/ImageLibrary/User/jkamme/PastJobAnnouncements/UrbanForestryArboristApprentice.pdf"
"23","Love & Faith Arborist Apprenticeship Program","Northcott Neighborhood House","Milwaukee","WI",43.0654569392735,-87.911221479139,"Northcott Neighborhood House provides classroom and hands-on instructional activities for our Urban Arborist Pre-Apprenticeship Training Program.","A paid pre-apprenticeship program. Successful trainees will acquire Industry Certifications.","https://northcotthouse.org/job-trainings"
"24","Onondaga Earth Corps","Onondaga Earth Corps","Syracuse","NY",43.0403755662284,-76.1482240912653,"Empowers youth to be active participants in creating positive change for their communities and the environment. Bring youth to the forefront of creating livable, sustainable communities through service, social enterprise and outreach. Help youth understand the relationship between people and the urban ecosystem. Engage youth in hands-on community and environmental service learning projects. ","Corps programs lead to positive impacts on participants’ employment and earnings, while teaching them valuable job readiness and technical skills for the future. Train youth for future jobs and careers in environmental fields. Empower youth by developing their leadership abilities that help them analyze situations, solve problems and implement strategies to improve their communities.","http://www.onondagaearthcorps.org/"
"25","Our City Forest Americorps Service Program","Our City Forest","San Jose","CA",37.3662199173732,-121.849140962314,"Our City Forest AmeriCorps service members are trained to be urban forestry & outreach specialists. They build capacity in the community by engaging volunteers and residents in cultivating plants at the community nursery, planting and caring for trees in neighborhoods, schools and parks, and fighting the drought through water conservation efforts. ","Members are trained to be urban forestry & outreach specialists. They build capacity in the community by engaging volunteers and residents in cultivating plants at the community nursery, planting and caring for trees in neighborhoods, schools and parks, and fighting the drought through water conservation efforts. AmeriCorps members educate the community on Our City Forest’s best practices and help train local environmental stewards. AmeriCorps members make a positive impact on the people and communities we serve. You will also receive a Living Stipend during the term and an Education Award upon completion, which can be applied to student loans or for furthering your education. ","http://www.ourcityforest.org/americorps"
"26","PowerCorps PHL","Power Corps PHL/ EducationWorks","Philadelphia","PA",39.9613472136299,-75.1536018889513,"PowerCorpsPHL is a cross-sector collaborative model that engages disconnected young adults and returning citizens to enter and succeed in career pathways by using service as the strategy. PowerCorpsPHL provides career-connected education and paid work experiences in collaboration with AmeriCorps and the city of Philadelphia, powered by EducationWorks.","Working closely with Philadelphia Parks & Recreation, the Philadelphia Water Department, and partners in the public and private sector, PowerCorpsPHL builds opportunities for young people to create promising futures by tackling pressing environmental challenges and developing the skills required to secure meaningful work. The program aids with job recruitment and provides fellowships and post-secondary educational support.","http://powercorpsphl.org/"
"27","Rocky Mountain Youth Corps","Rocky Mountain Youth Corps","Albuquerque","NM",40.4916829031828,-106.851126538284,"Corpsmembers learn the skills they need to be successful in their personal and professional relationships. The life skills curriculum teaches the values of being personally accountable and working cooperatively within diverse groups. ","Provide trainings in leadership, communication, diversity & inclusion, substance abuse prevention, financial management, work keys and job searches, post-secondary options, and public speaking and presentation skills. Additional training includes history of national service, sexual harassment in the workplace, conflict resolution, team building, effective communication, and job skills.","https://youthcorps.org/about/training-department/"
"28","Roots to Re-entry","Pennsylvania Horticultural Society","Philadelphia","PA",39.9560111052503,-75.172067266204,"PHS’s workforce development program supports people returning to their communities upon release from the Philadelphia Department of Prisons. ","The program offers paid training in horticulture, landscape maintenance, greenhouse operations, and carpentry and masonry. The training also includes job readiness, conflict resolution, health education, and occupational therapy. Upon graduating, PHS provides continued case management support and job placement with partnering employers.","https://phsonline.org/programs/workforce-development-programs"
"29","Service Corps","Green City Force","New York","NY",40.6997328884203,-73.9471388968739,"The Service Corps is a structured, full-time experience. Service initiatives respond to needs in public housing communities, cultivating and distributing fresh produce, building sustainable green infrastructure, and reaching residents with sustainability programs. GCF AmeriCorps members serve four days a week in the field in service, and one day a week in classroom training.","Classroom training includes eco-literacy and applied environmental education. Corps Members train for and take the GPro (Green Building Professional) certification administered by the U.S. Green Building Council. Trainings in agriculture, culinary skills and nutrition, electrical, plumbing, carpentry, pest management, recycling, compost processing, and hydroponics prepare Corps Members with technical skills for a range of sustainable career pathways.
Professional development workshops build job interview, networking, and resume writing skills. Corps Members are provided with social and emotional support through a combination of individual and group sessions facilitated by the GCF’s Youth Development Social Work team. Corps Members gain the opportunity to develop emotional processing, communication skills, advocacy skills, and other transferable life skills.Corps Members gain the opportunity to develop emotional processing, communication skills, advocacy skills, and other transferable life skills.Corps Members gain the opportunity to develop emotional processing, communication skills, advocacy skills, and other transferable life skills.","https://greencityforce.org/service-corps/"
"30","Stormwater Management Training","CivicWorks","Baltimore","MD",39.3215806628278,-76.5851689315173,"Stormwater Management Training participants learn to safely install effective best practices that reduce and clean polluted stormwater runoff, improving the health of our Chesapeake Bay so that all Baltimore residents will be able to enjoy our waterways. Training participants work with companies in the region that perform stormwater installations, landscaping, and stream restoration.

This technician training is the first of its kind in the Mid-Atlantic region. Stormwater management is an industry primed for expansion and job creation. ","Participants start training in a classroom and hands-on learning setting, earning industry recognized credentials, including the Clean Water Certificate. After successfully completing the classroom and hands-on components of the training program, participants have an opportunity to participate in paid on-the-job training. Graduates are placed into entry-level green careers with employers that offer a living wage and opportunities for advancement.","http://sustainablecareers.civicworks.com/for-applicants/stormwater-management-training/"
"31","Sustainable Youth Internship","Earth Team","Richmond","CA",37.9140037839597,-122.333351477142,"The Sustainable Youth Program takes a long-term approach to environmental education by working with individual core schools to offer a variety of projects–from short-term class visits to year long after school internships–all with a multi-year approach that caters to the unique needs of students and their respective schools. Projects focus on waste, watersheds, litter and urban forestry. ","The Restoration Action Project is a curriculum-connected project designed to educate middle and high school classes in local restoration projects. The program consists of three or more class visits and two or more field days, and is often used to fulfill service-learning project requirements and to give classes opportunities to interact with their local parks and creeks. Restoration ecology education topics range from water quality assessment, erosion control, invasive species control methods, and plant propagation, to wetlands functions/ hydrology and redwood reforestation. ","https://www.earthteam.net/our-projects/"
"32","Teen Urban Foresters","Canopy","Palo Alto","CA",37.432072815974,-122.103346968871,"Canopy’s Teen Urban Foresters (TUFs) serve as stewards and leaders in local urban greening. Students from high schools in East Palo Alto work part-time during the school year and summer, and participate in every facet of Canopy’s tree planting and tree care programs—planting, pruning, and caring for trees; leading volunteer groups; assisting with events; and more.","Beyond learning marketable skills and gaining job experience, the TUFs work together to improve their neighborhoods in tangible ways. They help build local pride and contribute to the economic and civic renewal of their community by bringing the life-giving benefits to local schools, parks, and neighborhoods.","https://canopy.org/our-work/education/teen-urban-foresters/"
"33","Tree Corps CREW","The Holden Arboretum","Cleveland","OH",41.6115414812963,-81.3010640828247,"Tree Corps is an arboriculture workforce development program designed to provide valuable training and entry-level job placement for Cleveland residents in the tree care industry. Funded with a generous grant from the Cleveland Foundation, Tree Corps works to support Cleveland’s urban tree canopy on public and private property while increasing Cleveland’s workforce capacity.","The Tree Corps CREW (Cleveland-Region Experiential Work) Program offers a paid job experience with exposure to and training in tree-care and related (horticulture, natural resources) careers for young, early-career Cleveland-area residents. The 8-member Tree Corps Crew spends 6 weeks learning key arboriculture skills, engaging in field experiences, and working on tree and land care related to the Cleveland Tree Plan. The program concludes with a capstone project and opportunities to shadow green career professionals. ","https://www.holdenarb.org/tree-corps/"
